               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11125,            0.015765,            0.076303,            0.008314,             0.42045,            0.059901,           0.0085836,            0.081108,            0.010782,            0.062532,              0.0982,              0.0002,              0.0002
                   1,             0.11152,            0.014016,            0.077976,           0.0076844,             0.46023,            0.090898,            0.013184,            0.077867,            0.011351,            0.061614,            0.095475,          0.00047525,          0.00047525
                   2,             0.10412,             0.01909,            0.073279,            0.013079,             0.60511,            0.085421,            0.014636,            0.073112,            0.012316,            0.060002,            0.092721,           0.0007208,           0.0007208
                   3,            0.099571,             0.01962,             0.07061,            0.016373,             0.71875,              0.0732,            0.012047,            0.067938,            0.013463,            0.057835,            0.089937,          0.00093665,          0.00093665
                   4,            0.091009,            0.022301,            0.067356,            0.015056,             0.75568,            0.074628,            0.010205,            0.064351,            0.014215,            0.055349,            0.087123,           0.0011228,           0.0011228
                   5,            0.087068,            0.020329,             0.06382,            0.013924,             0.80966,            0.045231,           0.0082362,            0.061729,            0.014684,            0.053444,            0.084279,           0.0012793,           0.0012793
                   6,            0.081348,            0.025346,            0.062834,            0.013775,             0.89205,            0.038117,           0.0077822,            0.060259,             0.01488,            0.051794,            0.081406,            0.001406,            0.001406
                   7,            0.077538,             0.02353,            0.059302,            0.013745,             0.93182,            0.053261,           0.0097704,            0.058741,            0.015127,            0.050861,            0.078503,           0.0015031,           0.0015031
                   8,            0.078614,             0.02531,            0.058144,            0.012112,             0.93182,            0.073376,            0.013039,            0.056981,            0.015271,            0.048531,             0.07557,           0.0015704,           0.0015704
                   9,            0.075143,            0.026384,            0.054525,            0.011433,             0.97727,             0.04505,            0.010821,            0.056031,            0.015255,            0.046758,            0.072608,           0.0016081,           0.0016081
                  10,            0.073044,             0.02524,            0.052614,           0.0099362,             0.97727,            0.079793,            0.018026,            0.053319,            0.015297,            0.043904,            0.069616,            0.001616,            0.001616
                  11,            0.072334,            0.025743,            0.051841,           0.0092155,             0.97727,            0.086437,            0.025131,            0.051688,            0.015244,            0.041801,            0.066594,           0.0015943,           0.0015943
                  12,            0.069073,            0.024709,            0.048503,           0.0087774,                   1,             0.11678,            0.033987,            0.050714,             0.01469,            0.038359,            0.063543,           0.0015428,           0.0015428
                  13,            0.064961,            0.023415,            0.046595,           0.0086541,                   1,             0.18577,            0.058101,            0.048393,            0.014557,            0.036535,            0.060462,           0.0014616,           0.0014616
                  14,            0.066786,            0.025614,            0.045689,             0.43356,             0.41761,             0.43157,             0.13502,            0.046885,            0.013908,            0.034021,            0.057351,           0.0013508,           0.0013508
                  15,            0.066974,            0.023021,            0.043319,             0.14164,             0.74871,             0.17147,            0.058692,            0.049938,            0.013148,            0.033077,             0.05421,           0.0012102,           0.0012102
                  16,            0.061311,            0.023982,            0.041798,             0.31667,             0.74432,             0.48335,             0.14745,            0.047475,            0.012856,            0.032074,             0.05104,             0.00104,             0.00104
                  17,             0.06014,            0.023342,            0.040915,             0.30664,             0.79596,             0.49473,             0.14959,            0.044416,            0.013002,            0.031767,             0.04784,          0.00084005,          0.00084005
                  18,            0.055648,            0.024218,            0.038444,             0.32098,             0.86932,             0.44553,             0.15499,            0.043738,            0.012886,            0.031575,             0.04461,           0.0006104,           0.0006104
                  19,            0.057909,            0.020617,             0.03952,             0.33033,             0.90057,             0.48285,             0.16882,            0.042757,            0.012873,            0.031478,            0.041351,          0.00035105,          0.00035105
